,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
158,Marcus Smart,LAL,3.3,8.1,1.9,2.1,1.7,10.1,3.1,2.9,1.3,0.4,1.8
159,Davion Mitchell,MIA,3.6,7.6,0.7,1.1,1.2,9.0,2.6,7.2,1.2,0.1,1.7
160,Miles McBride,NY,4.5,10.3,1.0,1.3,3.0,13.0,2.6,2.7,0.8,0.2,0.8
161,Tobias Harris,DET,4.9,10.7,2.1,2.5,1.4,13.3,4.4,2.4,0.9,0.2,1.1
162,Bilal Coulibaly,WAS,3.3,8.4,2.6,3.4,1.0,10.1,4.7,2.5,1.4,0.9,1.6
163,Bobby Portis,MIL,5.2,10.8,0.7,0.9,2.0,13.1,6.5,1.5,0.5,0.2,1.0
164,Kevin Huerter,CHI,4.3,9.3,1.0,1.3,1.6,11.3,3.7,2.6,0.8,0.6,1.2
165,Mitchell Robinson,NY,2.1,3.1,0.6,1.7,0.0,4.9,9.2,1.0,0.9,1.2,0.7
166,Jalen Smith,CHI,3.6,7.6,1.2,1.6,1.5,9.8,6.9,1.3,0.4,0.9,0.9
167,Cason Wallace,OKC,2.7,6.6,0.5,0.7,1.4,7.3,3.0,2.1,2.1,0.2,0.9
168,Jake LaRavia,LAL,3.4,7.4,1.5,2.0,1.2,9.5,4.3,2.0,1.3,0.5,1.1
169,Jakob Poeltl,TOR,4.2,6.0,1.3,2.2,0.0,9.7,7.7,2.1,0.8,0.5,1.6
170,Dylan Cardwell,SAC,2.1,3.6,0.7,1.4,0.0,4.8,7.1,1.3,0.8,1.7,0.7
171,Moussa Diabate,CHA,3.0,4.8,2.0,3.0,0.0,8.1,8.3,1.5,0.7,1.0,0.9
172,Kris Dunn,LAC,2.9,6.0,0.8,1.1,1.1,7.8,2.9,3.1,1.5,0.2,1.3
173,Moses Moody,GS,3.7,8.6,1.2,1.5,2.3,10.9,3.2,1.5,0.9,0.6,0.9
174,Noah Clowney,BKN,4.0,10.3,3.0,3.8,2.1,13.1,4.3,1.9,0.8,0.8,1.8
175,Aaron Nesmith,IND,4.4,12.2,2.2,2.7,2.4,13.3,5.2,2.2,0.7,0.6,1.4
176,Moritz Wagner,ORL,3.5,7.0,2.5,2.5,1.0,10.5,3.3,0.8,0.8,0.0,1.0
177,Egor Demin,BKN,3.5,8.7,0.9,1.0,2.4,10.2,3.0,3.4,0.9,0.3,1.7
178,De'Anthony Melton,GS,4.0,9.5,1.9,2.4,1.3,11.3,2.7,2.1,1.4,0.5,1.5
