,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
176,John Konchar,UTA,1.8,4.2,0.4,0.5,0.9,4.9,5.7,2.1,1.1,0.9,0.9
177,T.J. McConnell,IND,4.4,8.3,0.8,1.0,0.2,9.8,2.5,4.8,1.3,0.2,0.9
178,RJ Barrett,TOR,7.3,14.5,3.0,4.4,1.6,19.2,5.3,3.7,0.6,0.3,2.3
179,Will Richard,GS,3.9,7.6,1.1,1.4,1.6,10.3,3.6,2.5,1.2,0.1,1.1
180,Cam Spencer,MEM,2.9,6.4,1.3,1.5,1.7,8.8,2.0,5.7,0.8,0.1,0.7
181,Will Riley,WAS,5.6,13.0,2.5,3.2,1.9,15.6,4.3,2.3,1.2,0.3,1.3
182,Isaac Okoro,CHI,3.8,8.2,1.5,1.9,2.0,11.0,3.5,2.1,0.9,0.5,0.8
183,Dylan Harper,SA,4.3,9.2,2.6,3.2,1.2,12.5,2.7,3.5,1.1,0.4,1.6
184,Johnny Furphy,IND,2.5,6.1,1.3,1.6,1.1,7.4,5.1,1.4,1.3,0.8,0.9
185,Miles Bridges,CHA,5.0,11.3,2.0,2.5,1.8,13.8,5.1,2.6,0.4,0.7,1.4
186,Cameron Payne,PHI,3.9,9.4,1.1,1.2,2.0,10.9,2.2,5.1,0.8,0.3,1.2
187,Scotty Pippen Jr.,MEM,3.6,8.2,2.5,3.1,1.1,10.7,3.0,4.3,1.2,0.4,1.8
188,Collin Murray-Boyles,TOR,3.5,6.6,1.2,1.6,0.4,8.5,5.4,2.2,0.9,1.0,1.4
189,Anfernee Simons,CHI,4.9,10.9,1.8,2.1,3.0,14.6,2.0,3.0,0.4,0.1,1.5
190,Scoot Henderson,POR,5.0,11.5,2.8,3.5,1.7,14.5,3.3,5.0,1.0,0.2,3.3
191,Derik Queen,NO,4.2,8.9,2.5,3.3,0.1,11.1,5.3,3.8,0.8,1.0,1.7
192,Russell Westbrook,SAC,4.7,10.6,1.6,2.2,1.6,12.6,5.1,4.9,1.1,0.1,2.6
193,Tim Hardaway Jr.,DEN,4.4,9.6,1.8,2.1,2.8,13.4,2.9,1.7,0.7,0.1,0.8
194,Terance Mann,BKN,3.6,7.9,1.1,1.4,1.1,9.5,3.9,3.6,1.1,0.3,0.8
195,Nikola Vucevic,BOS,4.9,9.8,1.0,1.3,1.4,12.2,6.8,1.6,0.5,0.3,1.1
196,Jordan Miller,LAC,4.0,7.8,1.6,2.0,1.6,11.2,3.4,1.9,0.9,0.3,1.5
197,Jaylon Tyson,CLE,4.0,8.4,1.0,1.3,1.6,10.7,4.4,1.9,0.8,0.5,1.1
198,Isaiah Joe,OKC,3.9,8.7,0.7,0.9,2.8,11.4,3.1,1.8,0.8,0.3,0.7
199,Alex Caruso,OKC,2.5,5.4,0.7,0.9,1.2,7.0,2.7,2.4,1.3,0.6,0.9
200,Coby White,CHA,4.4,10.0,3.2,3.7,2.1,14.1,2.7,2.5,0.7,0.2,1.5
201,Aaron Nesmith,IND,5.2,12.2,1.7,2.1,2.6,14.8,4.3,1.5,0.6,0.4,1.0
202,Jalen Green,PHO,6.3,15.3,3.0,3.8,2.0,17.7,4.4,3.2,0.8,0.3,2.2
203,Dylan Cardwell,SAC,2.5,5.3,1.8,2.7,0.0,6.8,4.4,0.2,1.0,2.4,1.2
