,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
27,Trey Murphy III,NO,8.3,17.9,3.2,3.6,3.0,22.8,6.0,3.8,1.2,0.4,2.0
28,Jaren Jackson Jr.,MEM,6.9,14.7,4.4,5.5,2.1,20.2,6.3,2.0,1.0,2.2,2.1
29,Anthony Davis,DAL,7.9,15.2,3.8,4.9,1.0,20.5,11.1,2.1,1.0,2.0,1.8
30,Mikal Bridges,NY,6.2,12.0,1.4,1.7,2.2,16.1,4.7,4.2,1.8,0.7,1.7
31,Josh Giddey,CHI,6.9,14.7,3.4,4.2,2.1,19.3,9.1,8.6,1.0,0.3,3.3
32,Alexandre Sarr,WAS,7.0,13.8,1.9,2.8,1.1,17.0,9.0,2.7,0.8,2.5,2.0
33,Michael Porter Jr.,BKN,9.0,18.2,3.2,3.7,3.5,24.7,7.3,3.6,0.6,0.2,2.7
34,Evan Mobley,CLE,6.8,12.4,2.8,3.8,1.1,17.4,8.7,3.1,0.9,1.8,2.0
35,De'Aaron Fox,SA,8.7,18.7,4.2,5.2,2.3,23.9,4.6,5.9,1.6,0.4,2.7
36,Norman Powell,MIA,7.3,15.3,4.7,5.5,3.2,22.5,3.7,2.4,1.4,0.3,1.9
37,Deni Avdija,POR,7.5,16.0,7.5,9.5,2.1,24.6,7.2,6.8,1.0,0.5,3.4
38,Kel'el Ware,MIA,5.0,9.0,1.9,2.3,1.2,13.1,10.2,1.1,1.0,1.2,1.1
39,Kevin Porter Jr.,MIL,5.9,13.1,3.2,3.8,2.0,17.0,5.2,7.0,1.7,0.4,3.6
40,Ivica Zubac,LAC,7.3,11.3,2.0,2.8,0.0,16.6,11.1,2.1,0.5,1.2,1.4
41,Jalen Williams,OKC,7.3,15.8,3.0,3.6,1.3,18.9,5.6,5.6,1.6,0.6,2.2
42,Kon Knueppel,CHA,6.3,13.0,3.1,3.6,3.0,18.6,5.8,3.5,0.9,0.4,1.6
43,DeMar DeRozan,SAC,6.4,13.1,4.4,4.9,1.0,18.2,3.9,4.3,1.4,0.3,1.2
44,Trae Young,ATL,7.1,16.7,6.2,7.1,2.6,23.0,2.8,9.8,1.0,0.2,4.3
45,Domantas Sabonis,SAC,6.8,12.5,2.9,3.9,0.9,17.3,13.3,5.3,0.9,0.5,2.9
46,Julius Randle,MIN,6.9,14.1,4.9,6.2,1.6,20.2,7.9,6.3,1.2,0.2,2.8
47,Bam Adebayo,MIA,7.4,15.5,3.9,4.7,1.3,20.0,9.8,3.3,1.0,0.6,2.1
48,Payton Pritchard,BOS,6.5,14.0,2.4,2.8,3.1,18.4,4.8,5.9,1.0,0.2,1.7
